key,date_time,record,status,latitude,longitude,wind,pressure
AL011851,1851-06-25T00:00:00Z,NA,HU,28.0,-94.8,80,NA
AL011851,1851-06-25T06:00:00Z,NA,HU,28.0,-95.4,80,NA
AL011851,1851-06-25T12:00:00Z,NA,HU,28.0,-96.0,80,NA
AL011851,1851-06-25T18:00:00Z,NA,HU,28.1,-96.5,80,NA
AL011851,1851-06-25T21:00:00Z,L,HU,28.2,-96.8,80,NA
AL011851,1851-06-26T00:00:00Z,NA,HU,28.2,-97.0,70,NA
AL011851,1851-06-26T06:00:00Z,NA,TS,28.3,-97.6,60,NA
AL011851,1851-06-26T12:00:00Z,NA,TS,28.4,-98.3,60,NA
AL011851,1851-06-26T18:00:00Z,NA,TS,28.6,-98.9,50,NA
AL011851,1851-06-27T00:00:00Z,NA,TS,29.0,-99.4,50,NA
AL011851,1851-06-27T06:00:00Z,NA,TS,29.5,-99.8,40,NA
AL011851,1851-06-27T12:00:00Z,NA,TS,30.0,-100.0,40,NA
AL011851,1851-06-27T18:00:00Z,NA,TS,30.5,-100.1,40,NA
AL011851,1851-06-28T00:00:00Z,NA,TS,31.0,-100.2,40,NA
AL021851,1851-07-05T12:00:00Z,NA,HU,22.2,-97.6,80,NA
AL031851,1851-07-10T12:00:00Z,NA,TS,12.0,-60.0,50,NA
AL041851,1851-08-16T00:00:00Z,NA,TS,13.4,-48.0,40,NA
AL041851,1851-08-16T06:00:00Z,NA,TS,13.7,-49.5,40,NA
AL041851,1851-08-16T12:00:00Z,NA,TS,14.0,-51.0,50,NA
AL041851,1851-08-16T18:00:00Z,NA,TS,14.4,-52.8,50,NA
AL041851,1851-08-17T00:00:00Z,NA,TS,14.9,-54.6,60,NA
AL041851,1851-08-17T06:00:00Z,NA,TS,15.4,-56.5,60,NA
AL041851,1851-08-17T12:00:00Z,NA,HU,15.9,-58.5,70,NA
AL041851,1851-08-17T18:00:00Z,NA,HU,16.1,-60.4,70,NA
AL041851,1851-08-18T00:00:00Z,NA,HU,16.6,-62.5,80,NA
AL041851,1851-08-18T06:00:00Z,NA,HU,16.9,-64.1,80,NA
AL041851,1851-08-18T12:00:00Z,NA,HU,17.2,-66.0,90,NA
AL041851,1851-08-18T18:00:00Z,NA,HU,17.6,-67.6,90,NA
AL041851,1851-08-19T00:00:00Z,NA,HU,18.0,-69.3,90,NA
AL041851,1851-08-19T06:00:00Z,NA,HU,18.4,-71.1,70,NA
AL041851,1851-08-19T12:00:00Z,NA,TS,18.9,-72.6,60,NA
AL041851,1851-08-19T18:00:00Z,NA,TS,19.4,-74.3,60,NA
AL041851,1851-08-20T00:00:00Z,NA,HU,19.9,-75.9,70,NA
AL041851,1851-08-20T06:00:00Z,NA,HU,20.5,-77.6,70,NA
AL041851,1851-08-20T12:00:00Z,NA,HU,21.2,-79.0,70,NA
AL041851,1851-08-20T18:00:00Z,NA,HU,21.9,-80.4,70,NA
AL041851,1851-08-21T00:00:00Z,NA,TS,22.6,-81.4,60,NA
AL041851,1851-08-21T06:00:00Z,NA,TS,23.2,-82.5,60,NA
AL041851,1851-08-21T12:00:00Z,NA,HU,23.9,-83.6,70,NA
AL041851,1851-08-21T18:00:00Z,NA,HU,24.4,-84.3,70,NA
AL041851,1851-08-22T00:00:00Z,NA,HU,25.0,-84.9,80,NA
AL041851,1851-08-22T06:00:00Z,NA,HU,25.6,-85.5,80,NA
AL041851,1851-08-22T12:00:00Z,NA,HU,26.2,-86.0,90,NA
AL041851,1851-08-22T18:00:00Z,NA,HU,26.8,-86.3,90,NA
AL041851,1851-08-23T00:00:00Z,NA,HU,27.4,-86.5,100,NA
AL041851,1851-08-23T06:00:00Z,NA,HU,28.0,-86.6,100,NA
AL041851,1851-08-23T12:00:00Z,NA,HU,28.5,-86.6,100,NA
AL041851,1851-08-23T18:00:00Z,NA,HU,29.6,-86.1,100,NA
AL041851,1851-08-23T21:00:00Z,L,HU,30.1,-85.7,100,NA
AL041851,1851-08-24T00:00:00Z,NA,HU,30.7,-85.1,90,NA
AL041851,1851-08-24T06:00:00Z,NA,HU,31.6,-84.1,70,NA
AL041851,1851-08-24T12:00:00Z,NA,TS,32.5,-83.0,60,NA
AL041851,1851-08-24T18:00:00Z,NA,TS,33.4,-81.4,50,NA
AL041851,1851-08-25T00:00:00Z,NA,TS,34.0,-80.0,40,NA
AL041851,1851-08-25T06:00:00Z,NA,TS,34.8,-78.6,40,NA
AL041851,1851-08-25T12:00:00Z,NA,TS,35.8,-77.0,40,NA
AL041851,1851-08-25T18:00:00Z,NA,TS,36.8,-75.1,40,NA
AL041851,1851-08-26T00:00:00Z,NA,TS,37.8,-73.6,40,NA
AL041851,1851-08-26T06:00:00Z,NA,TS,38.9,-71.8,40,NA
AL041851,1851-08-26T12:00:00Z,NA,TS,40.0,-70.0,40,NA
AL041851,1851-08-26T18:00:00Z,NA,TS,41.3,-66.8,40,NA
AL041851,1851-08-27T00:00:00Z,NA,TS,42.8,-63.3,40,NA
AL041851,1851-08-27T06:00:00Z,NA,TS,44.5,-60.2,40,NA
AL041851,1851-08-27T12:00:00Z,NA,TS,46.4,-57.2,40,NA
AL041851,1851-08-27T18:00:00Z,NA,TS,48.5,-54.2,40,NA
AL051851,1851-09-13T00:00:00Z,NA,TS,32.5,-73.5,50,NA
AL051851,1851-09-13T06:00:00Z,NA,TS,32.5,-73.5,50,NA
AL051851,1851-09-13T12:00:00Z,NA,TS,32.5,-73.5,50,NA
AL051851,1851-09-13T18:00:00Z,NA,TS,32.5,-73.5,50,NA
AL051851,1851-09-14T00:00:00Z,NA,TS,32.5,-73.5,50,NA
AL051851,1851-09-14T06:00:00Z,NA,TS,32.5,-73.5,50,NA
AL051851,1851-09-14T12:00:00Z,NA,TS,32.5,-73.5,50,NA
AL051851,1851-09-14T18:00:00Z,NA,TS,32.5,-73.5,50,NA
AL051851,1851-09-15T00:00:00Z,NA,TS,32.5,-73.5,50,NA
AL051851,1851-09-15T06:00:00Z,NA,TS,32.5,-73.5,50,NA
AL051851,1851-09-15T12:00:00Z,NA,TS,32.5,-73.5,50,NA
AL051851,1851-09-15T18:00:00Z,NA,TS,32.5,-73.5,50,NA
AL051851,1851-09-16T00:00:00Z,NA,TS,32.5,-73.5,50,NA
AL051851,1851-09-16T06:00:00Z,NA,TS,32.5,-73.5,50,NA
AL051851,1851-09-16T12:00:00Z,NA,TS,32.5,-73.5,50,NA
AL051851,1851-09-16T18:00:00Z,NA,TS,32.5,-73.5,50,NA
AL061851,1851-10-16T00:00:00Z,NA,TS,28.7,-78.0,40,NA
AL061851,1851-10-16T06:00:00Z,NA,TS,29.1,-77.8,40,NA
AL061851,1851-10-16T12:00:00Z,NA,TS,29.5,-77.5,50,NA
AL061851,1851-10-16T18:00:00Z,NA,TS,30.1,-77.1,50,NA
AL061851,1851-10-17T00:00:00Z,NA,TS,30.7,-76.6,60,NA
AL061851,1851-10-17T06:00:00Z,NA,TS,31.2,-76.3,60,NA
AL061851,1851-10-17T12:00:00Z,NA,TS,31.6,-75.9,60,NA
AL061851,1851-10-17T18:00:00Z,NA,TS,32.0,-75.5,60,NA
AL061851,1851-10-18T00:00:00Z,NA,TS,32.7,-74.9,60,NA
AL061851,1851-10-18T06:00:00Z,NA,TS,33.3,-74.3,60,NA
AL061851,1851-10-18T12:00:00Z,NA,TS,34.0,-73.8,60,NA
AL061851,1851-10-18T18:00:00Z,NA,TS,35.3,-73.0,60,NA
AL061851,1851-10-19T00:00:00Z,NA,TS,37.0,-72.6,50,NA
AL061851,1851-10-19T06:00:00Z,NA,TS,38.5,-72.1,50,NA
AL061851,1851-10-19T12:00:00Z,NA,TS,40.2,-71.8,50,NA
AL061851,1851-10-19T15:00:00Z,L,TS,41.1,-71.7,50,NA
AL061851,1851-10-19T18:00:00Z,NA,TS,42.0,-71.6,40,NA
AL011852,1852-08-19T00:00:00Z,NA,TS,20.5,-67.1,60,NA
AL011852,1852-08-19T06:00:00Z,NA,TS,20.7,-68.0,60,NA
AL011852,1852-08-19T12:00:00Z,NA,TS,20.9,-68.8,60,NA
AL011852,1852-08-19T18:00:00Z,NA,TS,21.1,-69.6,60,NA
AL011852,1852-08-20T00:00:00Z,NA,HU,21.2,-70.6,70,NA
AL011852,1852-08-20T06:00:00Z,NA,HU,21.5,-71.9,70,NA
AL011852,1852-08-20T12:00:00Z,NA,HU,21.7,-73.0,70,NA
AL011852,1852-08-20T18:00:00Z,NA,HU,21.9,-74.0,70,NA
AL011852,1852-08-21T00:00:00Z,NA,HU,22.1,-74.9,80,NA
AL011852,1852-08-21T06:00:00Z,NA,HU,22.2,-76.1,80,NA
AL011852,1852-08-21T12:00:00Z,NA,HU,22.6,-77.1,80,NA
AL011852,1852-08-21T18:00:00Z,NA,HU,22.9,-78.1,80,NA
AL011852,1852-08-22T00:00:00Z,NA,HU,23.2,-79.3,90,NA
AL011852,1852-08-22T06:00:00Z,NA,HU,23.5,-80.1,90,NA
AL011852,1852-08-22T12:00:00Z,NA,HU,23.8,-81.1,90,NA
AL011852,1852-08-22T18:00:00Z,NA,HU,24.2,-82.1,90,NA
AL011852,1852-08-23T00:00:00Z,NA,HU,24.7,-83.1,90,NA
AL011852,1852-08-23T06:00:00Z,NA,HU,25.2,-83.9,90,NA
AL011852,1852-08-23T12:00:00Z,NA,HU,25.7,-84.6,90,NA
AL011852,1852-08-23T18:00:00Z,NA,HU,26.2,-85.3,90,NA
AL011852,1852-08-24T00:00:00Z,NA,HU,26.7,-86.0,100,NA
AL011852,1852-08-24T06:00:00Z,NA,HU,27.2,-86.6,100,NA
AL011852,1852-08-24T12:00:00Z,NA,HU,27.7,-87.1,100,NA
AL011852,1852-08-24T18:00:00Z,NA,HU,28.2,-87.5,100,NA
AL011852,1852-08-25T00:00:00Z,NA,HU,28.6,-87.8,100,NA
AL011852,1852-08-25T06:00:00Z,NA,HU,28.8,-88.0,100,NA
AL011852,1852-08-25T12:00:00Z,NA,HU,29.1,-88.2,100,NA
AL011852,1852-08-25T18:00:00Z,NA,HU,29.4,-88.4,100,NA
AL011852,1852-08-26T00:00:00Z,NA,HU,29.8,-88.6,100,NA
AL011852,1852-08-26T06:00:00Z,L,HU,30.2,-88.6,100,961
AL011852,1852-08-26T12:00:00Z,NA,HU,30.6,-88.5,90,NA
AL011852,1852-08-26T18:00:00Z,NA,HU,31.2,-88.1,70,NA
AL011852,1852-08-27T00:00:00Z,NA,TS,31.8,-87.4,50,NA
AL011852,1852-08-27T06:00:00Z,NA,TS,32.3,-86.3,40,NA
AL011852,1852-08-27T12:00:00Z,NA,TS,32.8,-84.8,40,NA
AL011852,1852-08-27T18:00:00Z,NA,TS,33.2,-82.8,40,NA
AL011852,1852-08-28T00:00:00Z,NA,TS,33.5,-80.5,40,NA
AL011852,1852-08-28T06:00:00Z,NA,TS,33.8,-78.2,40,NA
AL011852,1852-08-28T12:00:00Z,NA,TS,34.0,-76.0,40,NA
AL011852,1852-08-28T18:00:00Z,NA,TS,34.4,-74.2,40,NA
