key,date_time,wind_34_ne,wind_34_se,wind_34_sw,wind_34_nw,wind_50_ne,wind_50_se,wind_50_sw,wind_50_nw,wind_64_ne,wind_64_se,wind_64_sw,wind_64_nw
AL012004,2004-08-01T18:00:00Z,NA,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL012004,2004-08-02T00:00:00Z,NA,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL012004,2004-08-02T06:00:00Z,60,90,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL012004,2004-08-02T12:00:00Z,75,90,60,20,30,30,NA,NA,NA,NA,NA,NA
AL012004,2004-08-02T18:00:00Z,75,90,50,30,30,30,20,20,NA,NA,NA,NA
AL012004,2004-08-03T00:00:00Z,75,90,50,30,30,30,20,20,NA,NA,NA,NA
AL012004,2004-08-03T06:00:00Z,75,90,50,40,30,30,30,20,20,20,20,NA
AL012004,2004-08-03T12:00:00Z,75,90,50,40,30,50,30,20,20,20,20,NA
AL012004,2004-08-03T18:00:00Z,90,90,75,50,60,50,30,30,30,30,20,15
AL012004,2004-08-04T00:00:00Z,80,100,75,50,40,50,40,20,15,40,30,15
AL012004,2004-08-04T06:00:00Z,60,120,75,75,40,75,50,50,20,50,30,15
AL012004,2004-08-04T12:00:00Z,60,120,75,75,40,75,50,50,20,50,30,15
AL012004,2004-08-04T18:00:00Z,90,150,125,75,50,75,50,50,25,50,25,15
AL012004,2004-08-05T00:00:00Z,80,150,125,75,50,80,60,50,30,50,30,20
AL012004,2004-08-05T06:00:00Z,80,225,200,75,50,80,60,50,30,50,30,20
AL012004,2004-08-05T12:00:00Z,80,300,300,75,50,80,60,50,30,50,30,20
AL012004,2004-08-05T18:00:00Z,75,300,300,75,50,75,50,30,25,50,25,NA
AL012004,2004-08-06T00:00:00Z,75,300,300,75,50,75,50,30,25,50,25,NA
AL012004,2004-08-06T06:00:00Z,75,300,300,75,50,75,50,30,25,50,25,NA
AL012004,2004-08-06T12:00:00Z,75,300,300,75,50,75,50,30,NA,NA,NA,NA
AL022004,2004-08-09T12:00:00Z,25,25,25,25,NA,NA,NA,NA,NA,NA,NA,NA
AL022004,2004-08-09T18:00:00Z,25,25,25,25,NA,NA,NA,NA,NA,NA,NA,NA
AL022004,2004-08-10T00:00:00Z,25,25,25,25,NA,NA,NA,NA,NA,NA,NA,NA
