Key,Observations,StartDate,EndDate,YearNum,Year,Name,MaxWind,MinPressure
AL011851,14,1851-06-25T00:00:00Z,1851-06-28T00:00:00Z,1,1851,UNNAMED,80,NA
AL011852,45,1852-08-19T00:00:00Z,1852-08-30T00:00:00Z,1,1852,UNNAMED,100,961
AL011853,1,1853-08-05T12:00:00Z,1853-08-05T12:00:00Z,1,1853,UNNAMED,50,NA
AL011854,11,1854-06-25T00:00:00Z,1854-06-27T12:00:00Z,1,1854,UNNAMED,70,NA
AL011855,1,1855-08-06T12:00:00Z,1855-08-06T12:00:00Z,1,1855,UNNAMED,90,NA
AL011856,14,1856-08-09T00:00:00Z,1856-08-12T06:00:00Z,1,1856,UNNAMED,130,934
AL011857,8,1857-06-30T00:00:00Z,1857-07-01T18:00:00Z,1,1857,UNNAMED,50,NA
AL011858,1,1858-06-12T12:00:00Z,1858-06-12T12:00:00Z,1,1858,UNNAMED,70,NA
AL011859,1,1859-07-01T12:00:00Z,1859-07-01T12:00:00Z,1,1859,UNNAMED,90,NA
AL011860,35,1860-08-08T00:00:00Z,1860-08-16T06:00:00Z,1,1860,UNNAMED,110,NA
AL011861,28,1861-07-06T00:00:00Z,1861-07-12T18:00:00Z,1,1861,UNNAMED,90,NA
AL011862,12,1862-06-15T00:00:00Z,1862-06-17T18:00:00Z,1,1862,UNNAMED,50,NA
AL011863,8,1863-08-08T00:00:00Z,1863-08-09T18:00:00Z,1,1863,UNNAMED,90,NA
AL011864,12,1864-07-16T00:00:00Z,1864-07-18T18:00:00Z,1,1864,UNNAMED,70,NA
AL011865,1,1865-05-30T00:00:00Z,1865-05-30T00:00:00Z,1,1865,UNNAMED,50,NA
AL011866,19,1866-07-11T12:00:00Z,1866-07-16T00:00:00Z,1,1866,UNNAMED,90,NA
AL011867,11,1867-06-21T12:00:00Z,1867-06-23T18:00:00Z,1,1867,UNNAMED,70,NA
AL011868,18,1868-09-03T00:00:00Z,1868-09-07T06:00:00Z,1,1868,UNNAMED,90,NA
AL011869,4,1869-08-12T00:00:00Z,1869-08-12T18:00:00Z,1,1869,UNNAMED,90,NA
AL011870,1,1870-07-30T18:00:00Z,1870-07-30T18:00:00Z,1,1870,UNNAMED,70,NA
AL011871,21,1871-06-01T00:00:00Z,1871-06-05T18:00:00Z,1,1871,UNNAMED,50,999
AL011872,22,1872-07-09T00:00:00Z,1872-07-13T18:00:00Z,1,1872,UNNAMED,50,NA
AL011873,8,1873-06-01T06:00:00Z,1873-06-02T18:00:00Z,1,1873,UNNAMED,40,NA
AL011874,15,1874-07-02T00:00:00Z,1874-07-05T06:00:00Z,1,1874,UNNAMED,50,NA
AL011875,16,1875-08-16T00:00:00Z,1875-08-19T18:00:00Z,1,1875,UNNAMED,70,NA
AL011876,12,1876-09-09T00:00:00Z,1876-09-11T18:00:00Z,1,1876,UNNAMED,80,970
AL011877,18,1877-08-01T00:00:00Z,1877-08-05T06:00:00Z,1,1877,UNNAMED,60,NA
AL011878,13,1878-07-01T00:00:00Z,1878-07-03T18:00:00Z,1,1878,UNNAMED,40,NA
AL011879,16,1879-08-09T00:00:00Z,1879-08-12T18:00:00Z,1,1879,UNNAMED,70,NA
AL011880,19,1880-06-21T00:00:00Z,1880-06-25T06:00:00Z,1,1880,UNNAMED,40,NA
AL011881,15,1881-08-01T00:00:00Z,1881-08-04T06:00:00Z,1,1881,UNNAMED,50,NA
AL011882,5,1882-08-24T06:00:00Z,1882-08-25T06:00:00Z,1,1882,UNNAMED,70,NA
AL011883,44,1883-08-18T00:00:00Z,1883-08-28T18:00:00Z,1,1883,UNNAMED,80,NA
AL011884,24,1884-09-01T00:00:00Z,1884-09-06T18:00:00Z,1,1884,UNNAMED,70,NA
AL011885,36,1885-08-07T00:00:00Z,1885-08-15T18:00:00Z,1,1885,UNNAMED,80,981
AL011886,12,1886-06-13T06:00:00Z,1886-06-15T18:00:00Z,1,1886,UNNAMED,85,NA
AL011887,22,1887-05-15T00:00:00Z,1887-05-20T06:00:00Z,1,1887,UNNAMED,60,NA
AL011888,12,1888-06-16T00:00:00Z,1888-06-18T18:00:00Z,1,1888,UNNAMED,70,NA
AL011889,24,1889-05-16T06:00:00Z,1889-05-22T00:00:00Z,1,1889,UNNAMED,70,NA
AL011890,10,1890-05-27T12:00:00Z,1890-05-29T18:00:00Z,1,1890,UNNAMED,50,NA
AL011891,22,1891-07-03T06:00:00Z,1891-07-08T06:00:00Z,1,1891,UNNAMED,80,NA
AL011892,33,1892-06-09T00:00:00Z,1892-06-16T18:00:00Z,1,1892,UNNAMED,45,NA
AL011893,36,1893-06-12T06:00:00Z,1893-06-20T18:00:00Z,1,1893,UNNAMED,65,NA
AL011894,16,1894-06-06T00:00:00Z,1894-06-09T18:00:00Z,1,1894,UNNAMED,35,NA
AL011895,17,1895-08-14T06:00:00Z,1895-08-17T18:00:00Z,1,1895,UNNAMED,50,NA
AL011896,34,1896-07-04T12:00:00Z,1896-07-12T12:00:00Z,1,1896,UNNAMED,85,NA
AL011897,43,1897-08-31T06:00:00Z,1897-09-10T18:00:00Z,1,1897,UNNAMED,85,NA
AL011898,10,1898-08-02T00:00:00Z,1898-08-03T18:00:00Z,1,1898,UNNAMED,70,NA
AL011899,7,1899-06-26T12:00:00Z,1899-06-27T18:00:00Z,1,1899,UNNAMED,35,NA
AL011900,81,1900-08-27T00:00:00Z,1900-09-15T18:00:00Z,1,1900,UNNAMED,125,936
AL011901,21,1901-06-11T00:00:00Z,1901-06-15T18:00:00Z,1,1901,UNNAMED,35,NA
AL011902,23,1902-06-12T12:00:00Z,1902-06-17T18:00:00Z,1,1902,UNNAMED,50,NA
AL011903,24,1903-07-21T00:00:00Z,1903-07-26T18:00:00Z,1,1903,UNNAMED,70,NA
AL011904,18,1904-06-10T12:00:00Z,1904-06-14T18:00:00Z,1,1904,UNNAMED,70,NA
AL011905,10,1905-09-06T12:00:00Z,1905-09-08T18:00:00Z,1,1905,UNNAMED,50,NA
AL011906,27,1906-06-08T12:00:00Z,1906-06-14T18:00:00Z,1,1906,UNNAMED,45,NA
AL011907,27,1907-06-24T12:00:00Z,1907-06-30T18:00:00Z,1,1907,UNNAMED,55,NA
AL011908,14,1908-03-06T12:00:00Z,1908-03-09T18:00:00Z,1,1908,UNNAMED,85,NA
AL011909,20,1909-06-15T00:00:00Z,1909-06-19T18:00:00Z,1,1909,UNNAMED,40,NA
AL011910,27,1910-08-23T06:00:00Z,1910-08-29T18:00:00Z,1,1910,UNNAMED,40,NA
AL011911,31,1911-08-04T12:00:00Z,1911-08-12T00:00:00Z,1,1911,UNNAMED,50,NA
AL011912,42,1912-06-07T12:00:00Z,1912-06-17T12:00:00Z,1,1912,UNNAMED,60,NA
AL011913,33,1913-06-21T06:00:00Z,1913-06-29T00:00:00Z,1,1913,UNNAMED,65,NA
AL011914,19,1914-09-15T00:00:00Z,1914-09-19T06:00:00Z,1,1914,UNNAMED,60,NA
AL011915,22,1915-07-31T06:00:00Z,1915-08-05T12:00:00Z,1,1915,UNNAMED,65,990
AL011916,19,1916-05-13T12:00:00Z,1916-05-18T00:00:00Z,1,1916,UNNAMED,50,990
AL011917,33,1917-07-06T12:00:00Z,1917-07-14T12:00:00Z,1,1917,UNNAMED,45,NA
AL011918,28,1918-08-01T00:00:00Z,1918-08-07T18:00:00Z,1,1918,UNNAMED,105,955
AL011919,16,1919-07-02T06:00:00Z,1919-07-05T18:00:00Z,1,1919,UNNAMED,55,995
AL011920,38,1920-09-07T00:00:00Z,1920-09-16T06:00:00Z,1,1920,UNNAMED,95,NA
AL011921,43,1921-06-16T00:00:00Z,1921-06-26T12:00:00Z,1,1921,UNNAMED,80,980
AL011922,18,1922-06-12T12:00:00Z,1922-06-16T18:00:00Z,1,1922,UNNAMED,45,1006
AL011923,28,1923-06-22T12:00:00Z,1923-06-29T00:00:00Z,1,1923,UNNAMED,50,1006
AL011924,14,1924-06-18T00:00:00Z,1924-06-21T06:00:00Z,1,1924,UNNAMED,40,NA
AL011925,14,1925-08-18T00:00:00Z,1925-08-21T06:00:00Z,1,1925,UNNAMED,70,NA
AL011926,47,1926-07-22T06:00:00Z,1926-08-02T12:00:00Z,1,1926,UNNAMED,120,967
AL011927,45,1927-08-18T12:00:00Z,1927-08-29T12:00:00Z,1,1927,UNNAMED,110,950
AL011928,46,1928-08-03T00:00:00Z,1928-08-13T18:00:00Z,1,1928,UNNAMED,90,971
AL011929,15,1929-06-27T00:00:00Z,1929-06-30T06:00:00Z,1,1929,UNNAMED,80,982
AL011930,50,1930-08-21T18:00:00Z,1930-09-03T00:00:00Z,1,1930,UNNAMED,110,NA
AL011931,19,1931-06-24T12:00:00Z,1931-06-28T18:00:00Z,1,1931,UNNAMED,45,NA
AL011932,23,1932-05-05T12:00:00Z,1932-05-11T00:00:00Z,1,1932,UNNAMED,55,NA
AL011933,22,1933-05-14T12:00:00Z,1933-05-19T18:00:00Z,1,1933,UNNAMED,45,1001
AL011934,71,1934-06-04T12:00:00Z,1934-06-21T18:00:00Z,1,1934,UNNAMED,85,966
AL011935,17,1935-05-15T00:00:00Z,1935-05-19T00:00:00Z,1,1935,UNNAMED,50,1006
AL011936,23,1936-06-12T00:00:00Z,1936-06-17T06:00:00Z,1,1936,UNNAMED,40,996
AL011937,21,1937-07-29T00:00:00Z,1937-08-02T18:00:00Z,1,1937,UNNAMED,60,996
AL011938,22,1938-01-01T12:00:00Z,1938-01-06T18:00:00Z,1,1938,UNNAMED,70,NA
AL011939,28,1939-06-12T06:00:00Z,1939-06-18T18:00:00Z,1,1939,UNNAMED,55,NA
AL011940,32,1940-05-19T12:00:00Z,1940-05-27T06:00:00Z,1,1940,UNNAMED,55,NA
AL011941,22,1941-09-11T00:00:00Z,1941-09-16T06:00:00Z,1,1941,UNNAMED,50,1001
AL011942,12,1942-08-03T00:00:00Z,1942-08-05T18:00:00Z,1,1942,UNNAMED,50,NA
AL011943,18,1943-07-25T18:00:00Z,1943-07-30T00:00:00Z,1,1943,UNNAMED,90,967
AL011944,28,1944-07-13T06:00:00Z,1944-07-20T00:00:00Z,1,1944,UNNAMED,70,NA
AL011945,59,1945-06-20T12:00:00Z,1945-07-04T12:00:00Z,1,1945,UNNAMED,85,NA
AL011946,14,1946-06-13T12:00:00Z,1946-06-16T18:00:00Z,1,1946,UNNAMED,35,NA
AL011947,10,1947-07-31T06:00:00Z,1947-08-02T12:00:00Z,1,1947,UNNAMED,45,NA
AL011948,28,1948-05-22T06:00:00Z,1948-05-29T00:00:00Z,1,1948,UNNAMED,45,NA
AL011949,37,1949-08-21T00:00:00Z,1949-08-30T00:00:00Z,1,1949,UNNAMED,95,963
AL011950,51,1950-08-12T00:00:00Z,1950-08-24T06:00:00Z,1,1950,ABLE,110,953
AL011951,41,1951-01-02T12:00:00Z,1951-01-12T12:00:00Z,1,1951,UNNAMED,55,NA
AL011952,13,1952-02-02T06:00:00Z,1952-02-05T06:00:00Z,1,1952,UNNAMED,60,NA
AL011953,53,1953-05-25T18:00:00Z,1953-06-07T06:00:00Z,1,1953,ALICE,60,994
AL011954,14,1954-05-28T12:00:00Z,1954-05-31T18:00:00Z,1,1954,UNNAMED,45,1005
