"Key","Name","Adv","ObDate","Status","Lat","Lon","Wind","Gust","Pressure","PosAcc","FwdDir","FwdSpeed","Eye"
"AL012016","ALEX",1,2016-01-13 21:00:00,"SUBTROPICAL STORM",27.1,-30.8,45,55,990,25,55,12,NA
"AL012016","ALEX",2,2016-01-14 03:00:00,"SUBTROPICAL STORM",28.7,-30,50,60,988,25,35,15,NA
"AL012016","ALEX",3,2016-01-14 09:00:00,"SUBTROPICAL STORM",30.1,-29.3,60,75,984,25,20,16,15
"AL012016","ALEX",4,2016-01-14 15:00:00,"HURRICANE",31.5,-28.4,75,90,981,20,20,17,15
"AL012016","ALEX",5,2016-01-14 21:00:00,"HURRICANE",33.6,-27.8,75,90,981,20,15,20,20
"AL012016","ALEX",6,2016-01-15 03:00:00,"HURRICANE",34.7,-27.6,70,85,984,20,10,19,NA
"AL012016","ALEX",7,2016-01-15 09:00:00,"HURRICANE",36.8,-27,65,80,986,20,5,20,NA
"AL012016","ALEX",8,2016-01-15 15:00:00,"TROPICAL STORM",39.3,-27,60,75,986,20,360,24,NA
"AL012016","ALEX",9,2016-01-15 21:00:00,"POST-TROPICAL CYCLONE",43,-27.8,60,75,986,30,350,35,NA
"AL022016","TWO",1,2016-05-27 21:00:00,"TROPICAL DEPRESSION",28.5,-74.7,30,40,1009,25,300,11,NA
"AL022016","TWO",2,2016-05-28 03:00:00,"TROPICAL DEPRESSION",29,-75.9,30,40,1009,25,300,10,NA
"AL022016","TWO",3,2016-05-28 09:00:00,"TROPICAL DEPRESSION",29.9,-77,30,40,1009,25,315,12,NA
"AL022016","TWO",4,2016-05-28 15:00:00,"TROPICAL DEPRESSION",30.3,-78.5,30,40,1009,20,310,11,NA
"AL022016","BONNIE",5,2016-05-28 21:00:00,"TROPICAL STORM",31.1,-79.4,35,45,1008,20,320,9,NA
"AL022016","BONNIE",6,2016-05-29 03:00:00,"TROPICAL STORM",31,-79.5,40,50,1008,20,360,0,NA
"AL022016","BONNIE",7,2016-05-29 09:00:00,"TROPICAL STORM",32.1,-79.4,35,45,1009,20,360,7,NA
