"Key","Adv","ObDate","FcstDate","WindField","NE","SE","SW","NW"
"AL152016",29,2016-10-11 09:00:00,2016-10-12 06:00:00,64,25,20,NA,NA
"AL152016",29,2016-10-11 09:00:00,2016-10-12 18:00:00,64,30,25,NA,20
"AL152016",29,2016-10-11 09:00:00,2016-10-11 18:00:00,50,40,40,NA,NA
"AL152016",29,2016-10-11 09:00:00,2016-10-12 06:00:00,50,70,70,20,20
"AL152016",29,2016-10-11 09:00:00,2016-10-12 18:00:00,50,80,80,30,40
"AL152016",29,2016-10-11 09:00:00,2016-10-13 06:00:00,50,90,80,40,50
"AL152016",29,2016-10-11 09:00:00,2016-10-14 06:00:00,50,100,90,60,70
"AL152016",29,2016-10-11 09:00:00,2016-10-11 18:00:00,34,120,100,80,60
"AL152016",29,2016-10-11 09:00:00,2016-10-12 06:00:00,34,140,140,80,80
"AL152016",29,2016-10-11 09:00:00,2016-10-12 18:00:00,34,160,160,80,100
"AL152016",29,2016-10-11 09:00:00,2016-10-13 06:00:00,34,180,180,90,120
"AL152016",29,2016-10-11 09:00:00,2016-10-14 06:00:00,34,210,210,120,130
"AL152016",28,2016-10-11 03:00:00,2016-10-12 00:00:00,64,25,20,NA,NA
"AL152016",28,2016-10-11 03:00:00,2016-10-12 12:00:00,64,30,25,NA,20
"AL152016",28,2016-10-11 03:00:00,2016-10-11 12:00:00,50,70,60,NA,NA
"AL152016",28,2016-10-11 03:00:00,2016-10-12 00:00:00,50,70,70,20,20
"AL152016",28,2016-10-11 03:00:00,2016-10-12 12:00:00,50,80,80,30,40
"AL152016",28,2016-10-11 03:00:00,2016-10-13 00:00:00,50,90,80,40,50
"AL152016",28,2016-10-11 03:00:00,2016-10-14 00:00:00,50,100,90,60,70
"AL152016",28,2016-10-11 03:00:00,2016-10-11 12:00:00,34,140,140,80,70
"AL152016",28,2016-10-11 03:00:00,2016-10-12 00:00:00,34,140,140,80,80
"AL152016",28,2016-10-11 03:00:00,2016-10-12 12:00:00,34,160,160,80,100
"AL152016",28,2016-10-11 03:00:00,2016-10-13 00:00:00,34,180,180,90,120
"AL152016",28,2016-10-11 03:00:00,2016-10-14 00:00:00,34,210,210,120,130
"AL152016",27,2016-10-10 21:00:00,2016-10-11 18:00:00,64,25,20,NA,NA
"AL152016",27,2016-10-10 21:00:00,2016-10-12 06:00:00,64,30,25,NA,20
"AL152016",27,2016-10-10 21:00:00,2016-10-11 06:00:00,50,70,60,NA,NA
"AL152016",27,2016-10-10 21:00:00,2016-10-11 18:00:00,50,70,70,NA,20
"AL152016",27,2016-10-10 21:00:00,2016-10-12 06:00:00,50,80,80,20,40
"AL152016",27,2016-10-10 21:00:00,2016-10-12 18:00:00,50,90,80,40,50
"AL152016",27,2016-10-10 21:00:00,2016-10-13 18:00:00,50,100,90,60,70
"AL152016",27,2016-10-10 21:00:00,2016-10-11 06:00:00,34,140,140,80,70
"AL152016",27,2016-10-10 21:00:00,2016-10-11 18:00:00,34,140,140,80,80
"AL152016",27,2016-10-10 21:00:00,2016-10-12 06:00:00,34,160,160,80,100
"AL152016",27,2016-10-10 21:00:00,2016-10-12 18:00:00,34,180,180,90,120
"AL152016",27,2016-10-10 21:00:00,2016-10-13 18:00:00,34,210,210,120,130
"AL152016",26,2016-10-10 15:00:00,2016-10-12 00:00:00,64,25,20,NA,NA
"AL152016",26,2016-10-10 15:00:00,2016-10-11 00:00:00,50,50,50,20,NA
"AL152016",26,2016-10-10 15:00:00,2016-10-11 12:00:00,50,60,60,20,20
"AL152016",26,2016-10-10 15:00:00,2016-10-12 00:00:00,50,70,70,30,40
"AL152016",26,2016-10-10 15:00:00,2016-10-12 12:00:00,50,80,80,40,40
"AL152016",26,2016-10-10 15:00:00,2016-10-13 12:00:00,50,90,90,50,50
"AL152016",26,2016-10-10 15:00:00,2016-10-11 00:00:00,34,160,160,70,60
"AL152016",26,2016-10-10 15:00:00,2016-10-11 12:00:00,34,160,160,80,70
"AL152016",26,2016-10-10 15:00:00,2016-10-12 00:00:00,34,160,160,80,90
"AL152016",26,2016-10-10 15:00:00,2016-10-12 12:00:00,34,180,180,90,110
"AL152016",26,2016-10-10 15:00:00,2016-10-13 12:00:00,34,210,200,110,120
"AL152016",25,2016-10-10 09:00:00,2016-10-11 18:00:00,64,20,20,NA,NA
"AL152016",25,2016-10-10 09:00:00,2016-10-10 18:00:00,50,50,50,20,NA
"AL152016",25,2016-10-10 09:00:00,2016-10-11 06:00:00,50,50,50,20,20
"AL152016",25,2016-10-10 09:00:00,2016-10-11 18:00:00,50,60,60,20,30
"AL152016",25,2016-10-10 09:00:00,2016-10-12 06:00:00,50,70,70,30,40
"AL152016",25,2016-10-10 09:00:00,2016-10-13 06:00:00,50,80,70,40,60
"AL152016",25,2016-10-10 09:00:00,2016-10-10 18:00:00,34,180,160,70,60
"AL152016",25,2016-10-10 09:00:00,2016-10-11 06:00:00,34,180,160,70,60
"AL152016",25,2016-10-10 09:00:00,2016-10-11 18:00:00,34,180,170,70,70
"AL152016",25,2016-10-10 09:00:00,2016-10-12 06:00:00,34,180,180,70,80
"AL152016",25,2016-10-10 09:00:00,2016-10-13 06:00:00,34,190,190,90,120
"AL152016",24,2016-10-10 03:00:00,2016-10-11 12:00:00,64,20,20,NA,NA
"AL152016",24,2016-10-10 03:00:00,2016-10-10 12:00:00,50,40,50,20,NA
"AL152016",24,2016-10-10 03:00:00,2016-10-11 00:00:00,50,50,60,20,20
"AL152016",24,2016-10-10 03:00:00,2016-10-11 12:00:00,50,50,60,20,30
"AL152016",24,2016-10-10 03:00:00,2016-10-12 00:00:00,50,60,70,20,40
"AL152016",24,2016-10-10 03:00:00,2016-10-13 00:00:00,50,70,80,40,50
"AL152016",24,2016-10-10 03:00:00,2016-10-10 12:00:00,34,100,160,70,60
"AL152016",24,2016-10-10 03:00:00,2016-10-11 00:00:00,34,110,170,70,70
"AL152016",24,2016-10-10 03:00:00,2016-10-11 12:00:00,34,110,180,80,80
"AL152016",24,2016-10-10 03:00:00,2016-10-12 00:00:00,34,120,180,80,80
"AL152016",24,2016-10-10 03:00:00,2016-10-13 00:00:00,34,130,190,90,120
"AL152016",23,2016-10-09 21:00:00,2016-10-10 18:00:00,64,20,20,NA,NA
"AL152016",23,2016-10-09 21:00:00,2016-10-11 06:00:00,64,25,25,NA,NA
"AL152016",23,2016-10-09 21:00:00,2016-10-10 06:00:00,50,50,60,20,NA
"AL152016",23,2016-10-09 21:00:00,2016-10-10 18:00:00,50,50,60,20,NA
"AL152016",23,2016-10-09 21:00:00,2016-10-11 06:00:00,50,60,70,20,NA
"AL152016",23,2016-10-09 21:00:00,2016-10-11 18:00:00,50,60,70,30,30
"AL152016",23,2016-10-09 21:00:00,2016-10-12 18:00:00,50,70,80,40,50
"AL152016",23,2016-10-09 21:00:00,2016-10-10 06:00:00,34,110,170,70,70
"AL152016",23,2016-10-09 21:00:00,2016-10-10 18:00:00,34,110,180,80,80
"AL152016",23,2016-10-09 21:00:00,2016-10-11 06:00:00,34,120,180,80,80
"AL152016",23,2016-10-09 21:00:00,2016-10-11 18:00:00,34,120,180,80,90
"AL152016",23,2016-10-09 21:00:00,2016-10-12 18:00:00,34,130,190,90,120
"AL152016",22,2016-10-09 15:00:00,2016-10-10 00:00:00,50,40,40,NA,NA
"AL152016",22,2016-10-09 15:00:00,2016-10-10 12:00:00,50,40,50,NA,NA
"AL152016",22,2016-10-09 15:00:00,2016-10-11 00:00:00,50,40,60,NA,NA
"AL152016",22,2016-10-09 15:00:00,2016-10-11 12:00:00,50,50,60,NA,NA
"AL152016",22,2016-10-09 15:00:00,2016-10-12 12:00:00,50,60,70,30,30
"AL152016",22,2016-10-09 15:00:00,2016-10-10 00:00:00,34,90,110,70,60
"AL152016",22,2016-10-09 15:00:00,2016-10-10 12:00:00,34,90,120,70,60
"AL152016",22,2016-10-09 15:00:00,2016-10-11 00:00:00,34,90,120,70,60
"AL152016",22,2016-10-09 15:00:00,2016-10-11 12:00:00,34,100,130,70,70
"AL152016",22,2016-10-09 15:00:00,2016-10-12 12:00:00,34,100,140,80,90
"AL152016",21,2016-10-09 09:00:00,2016-10-11 06:00:00,50,40,30,NA,NA
"AL152016",21,2016-10-09 09:00:00,2016-10-12 06:00:00,50,40,30,30,30
"AL152016",21,2016-10-09 09:00:00,2016-10-09 18:00:00,34,70,110,60,50
"AL152016",21,2016-10-09 09:00:00,2016-10-10 06:00:00,34,80,110,60,50
"AL152016",21,2016-10-09 09:00:00,2016-10-10 18:00:00,34,90,110,60,50
"AL152016",21,2016-10-09 09:00:00,2016-10-11 06:00:00,34,90,110,70,70
"AL152016",21,2016-10-09 09:00:00,2016-10-12 06:00:00,34,100,110,80,90
"AL152016",20,2016-10-09 03:00:00,2016-10-09 12:00:00,50,NA,40,NA,NA
"AL152016",20,2016-10-09 03:00:00,2016-10-10 00:00:00,50,NA,40,NA,NA
"AL152016",20,2016-10-09 03:00:00,2016-10-10 12:00:00,50,30,40,NA,NA
"AL152016",20,2016-10-09 03:00:00,2016-10-11 00:00:00,50,30,40,NA,NA
"AL152016",20,2016-10-09 03:00:00,2016-10-12 00:00:00,50,40,60,30,30
"AL152016",20,2016-10-09 03:00:00,2016-10-09 12:00:00,34,60,110,60,50
"AL152016",20,2016-10-09 03:00:00,2016-10-10 00:00:00,34,60,110,60,50
"AL152016",20,2016-10-09 03:00:00,2016-10-10 12:00:00,34,60,110,60,50
