"Key","Adv","ObDate","FcstDate","Lat","Lon","Wind","Gust"
"AL152016",29,2016-10-11 09:00:00,2016-10-11 18:00:00,27.5,-66.4,55,65
"AL152016",29,2016-10-11 09:00:00,2016-10-12 06:00:00,28.5,-67,65,80
"AL152016",29,2016-10-11 09:00:00,2016-10-12 18:00:00,29.5,-67,70,85
"AL152016",29,2016-10-11 09:00:00,2016-10-13 06:00:00,31.5,-66,80,100
"AL152016",29,2016-10-11 09:00:00,2016-10-14 06:00:00,36,-62,80,100
"AL152016",29,2016-10-11 09:00:00,2016-10-15 06:00:00,40,-56.5,75,90
"AL152016",29,2016-10-11 09:00:00,2016-10-16 06:00:00,42,-53.5,65,80
"AL152016",28,2016-10-11 03:00:00,2016-10-11 12:00:00,27.4,-66,55,65
"AL152016",28,2016-10-11 03:00:00,2016-10-12 00:00:00,28,-66.6,65,80
"AL152016",28,2016-10-11 03:00:00,2016-10-12 12:00:00,28.9,-66.8,70,85
"AL152016",28,2016-10-11 03:00:00,2016-10-13 00:00:00,30.5,-66.3,80,100
"AL152016",28,2016-10-11 03:00:00,2016-10-14 00:00:00,34.5,-63,80,100
"AL152016",28,2016-10-11 03:00:00,2016-10-15 00:00:00,39.5,-57,75,90
"AL152016",28,2016-10-11 03:00:00,2016-10-16 00:00:00,42,-53.5,70,85
"AL152016",27,2016-10-10 21:00:00,2016-10-11 06:00:00,26.9,-65.7,55,65
"AL152016",27,2016-10-10 21:00:00,2016-10-11 18:00:00,27.5,-66.3,65,80
"AL152016",27,2016-10-10 21:00:00,2016-10-12 06:00:00,28.2,-66.7,70,85
"AL152016",27,2016-10-10 21:00:00,2016-10-12 18:00:00,29.5,-66.7,80,100
"AL152016",27,2016-10-10 21:00:00,2016-10-13 18:00:00,33.2,-64.3,80,100
"AL152016",27,2016-10-10 21:00:00,2016-10-14 18:00:00,38.1,-58.3,80,100
"AL152016",27,2016-10-10 21:00:00,2016-10-15 18:00:00,42,-54.2,70,85
"AL152016",26,2016-10-10 15:00:00,2016-10-11 00:00:00,26.4,-65.4,50,60
"AL152016",26,2016-10-10 15:00:00,2016-10-11 12:00:00,27.2,-66,60,75
"AL152016",26,2016-10-10 15:00:00,2016-10-12 00:00:00,27.7,-66.5,65,80
"AL152016",26,2016-10-10 15:00:00,2016-10-12 12:00:00,28.5,-66.8,75,90
"AL152016",26,2016-10-10 15:00:00,2016-10-13 12:00:00,31.8,-65.2,80,100
"AL152016",26,2016-10-10 15:00:00,2016-10-14 12:00:00,36.7,-59.6,75,90
"AL152016",26,2016-10-10 15:00:00,2016-10-15 12:00:00,41.2,-53.9,70,85
"AL152016",25,2016-10-10 09:00:00,2016-10-10 18:00:00,25.8,-65.3,55,65
"AL152016",25,2016-10-10 09:00:00,2016-10-11 06:00:00,26.6,-65.7,60,75
"AL152016",25,2016-10-10 09:00:00,2016-10-11 18:00:00,27.2,-66.2,65,80
"AL152016",25,2016-10-10 09:00:00,2016-10-12 06:00:00,27.8,-66.8,75,90
"AL152016",25,2016-10-10 09:00:00,2016-10-13 06:00:00,30.5,-66,85,105
"AL152016",25,2016-10-10 09:00:00,2016-10-14 06:00:00,34.5,-62.2,80,100
"AL152016",25,2016-10-10 09:00:00,2016-10-15 06:00:00,38.5,-56.3,70,85
"AL152016",24,2016-10-10 03:00:00,2016-10-10 12:00:00,25.1,-65.3,55,65
"AL152016",24,2016-10-10 03:00:00,2016-10-11 00:00:00,26,-65.5,60,75
"AL152016",24,2016-10-10 03:00:00,2016-10-11 12:00:00,26.6,-65.9,65,80
"AL152016",24,2016-10-10 03:00:00,2016-10-12 00:00:00,27.1,-66.4,70,85
"AL152016",24,2016-10-10 03:00:00,2016-10-13 00:00:00,28.5,-66.5,85,105
"AL152016",24,2016-10-10 03:00:00,2016-10-14 00:00:00,32,-64,85,105
"AL152016",24,2016-10-10 03:00:00,2016-10-15 00:00:00,37,-58,70,85
"AL152016",23,2016-10-09 21:00:00,2016-10-10 06:00:00,25,-65.2,60,75
"AL152016",23,2016-10-09 21:00:00,2016-10-10 18:00:00,25.9,-65.3,65,80
"AL152016",23,2016-10-09 21:00:00,2016-10-11 06:00:00,26.6,-65.5,70,85
"AL152016",23,2016-10-09 21:00:00,2016-10-11 18:00:00,27.2,-65.9,75,90
"AL152016",23,2016-10-09 21:00:00,2016-10-12 18:00:00,28.4,-66.4,80,100
"AL152016",23,2016-10-09 21:00:00,2016-10-13 18:00:00,31.3,-65,80,100
"AL152016",23,2016-10-09 21:00:00,2016-10-14 18:00:00,35.4,-59,75,90
"AL152016",22,2016-10-09 15:00:00,2016-10-10 00:00:00,24.4,-65.3,55,65
"AL152016",22,2016-10-09 15:00:00,2016-10-10 12:00:00,25.2,-65.3,55,65
"AL152016",22,2016-10-09 15:00:00,2016-10-11 00:00:00,26.1,-65.3,55,65
"AL152016",22,2016-10-09 15:00:00,2016-10-11 12:00:00,27,-65.6,60,75
"AL152016",22,2016-10-09 15:00:00,2016-10-12 12:00:00,28.6,-65.9,65,80
"AL152016",22,2016-10-09 15:00:00,2016-10-13 12:00:00,31.8,-64.2,70,85
"AL152016",22,2016-10-09 15:00:00,2016-10-14 12:00:00,34.9,-59.4,70,85
"AL152016",21,2016-10-09 09:00:00,2016-10-09 18:00:00,24.3,-65.6,45,55
"AL152016",21,2016-10-09 09:00:00,2016-10-10 06:00:00,24.9,-65.5,45,55
"AL152016",21,2016-10-09 09:00:00,2016-10-10 18:00:00,25.9,-65.4,45,55
"AL152016",21,2016-10-09 09:00:00,2016-10-11 06:00:00,26.9,-65.5,50,60
"AL152016",21,2016-10-09 09:00:00,2016-10-12 06:00:00,28.4,-66.3,55,65
"AL152016",21,2016-10-09 09:00:00,2016-10-13 06:00:00,31,-65.5,60,75
"AL152016",21,2016-10-09 09:00:00,2016-10-14 06:00:00,35,-60.5,65,80
"AL152016",20,2016-10-09 03:00:00,2016-10-09 12:00:00,24,-65.7,50,60
"AL152016",20,2016-10-09 03:00:00,2016-10-10 00:00:00,24.4,-65.7,50,60
"AL152016",20,2016-10-09 03:00:00,2016-10-10 12:00:00,25.2,-65.7,50,60
"AL152016",20,2016-10-09 03:00:00,2016-10-11 00:00:00,26.3,-65.7,50,60
"AL152016",20,2016-10-09 03:00:00,2016-10-12 00:00:00,28,-66.5,55,65
"AL152016",20,2016-10-09 03:00:00,2016-10-13 00:00:00,30.5,-66,65,80
"AL152016",20,2016-10-09 03:00:00,2016-10-14 00:00:00,34,-62,65,80
"AL152016",19,2016-10-08 21:00:00,2016-10-09 06:00:00,24.2,-65.9,50,60
"AL152016",19,2016-10-08 21:00:00,2016-10-09 18:00:00,24.2,-65.9,50,60
"AL152016",19,2016-10-08 21:00:00,2016-10-10 06:00:00,24.7,-65.9,50,60
"AL152016",19,2016-10-08 21:00:00,2016-10-10 18:00:00,25.7,-65.9,50,60
"AL152016",19,2016-10-08 21:00:00,2016-10-11 18:00:00,27.5,-66.1,55,65
"AL152016",19,2016-10-08 21:00:00,2016-10-12 18:00:00,30.4,-65.9,55,65
"AL152016",19,2016-10-08 21:00:00,2016-10-13 18:00:00,33.9,-62.5,55,65
"AL152016",18,2016-10-08 15:00:00,2016-10-09 00:00:00,24.6,-65.7,35,45
"AL152016",18,2016-10-08 15:00:00,2016-10-09 12:00:00,24.2,-65.8,35,45
"AL152016",18,2016-10-08 15:00:00,2016-10-10 00:00:00,24.8,-65.9,35,45
"AL152016",18,2016-10-08 15:00:00,2016-10-10 12:00:00,25.7,-66,35,45
"AL152016",18,2016-10-08 15:00:00,2016-10-11 12:00:00,28.3,-66.6,40,50
"AL152016",18,2016-10-08 15:00:00,2016-10-12 12:00:00,30.5,-67,45,55
"AL152016",18,2016-10-08 15:00:00,2016-10-13 12:00:00,33.4,-64.6,45,55
"AL152016",17,2016-10-08 09:00:00,2016-10-08 18:00:00,25.2,-65.6,45,55
"AL152016",17,2016-10-08 09:00:00,2016-10-09 06:00:00,24.7,-65.6,40,50
"AL152016",17,2016-10-08 09:00:00,2016-10-09 18:00:00,24.8,-65.7,40,50
"AL152016",17,2016-10-08 09:00:00,2016-10-10 06:00:00,25.4,-65.9,40,50
"AL152016",17,2016-10-08 09:00:00,2016-10-11 06:00:00,28,-66.5,40,50
"AL152016",17,2016-10-08 09:00:00,2016-10-12 06:00:00,30,-67.5,45,55
"AL152016",17,2016-10-08 09:00:00,2016-10-13 06:00:00,32.5,-66,50,60
"AL152016",16,2016-10-08 03:00:00,2016-10-08 12:00:00,25.5,-65.1,45,55
"AL152016",16,2016-10-08 03:00:00,2016-10-09 00:00:00,24.7,-64.9,45,55
"AL152016",16,2016-10-08 03:00:00,2016-10-09 12:00:00,24.8,-65.2,45,55
"AL152016",16,2016-10-08 03:00:00,2016-10-10 00:00:00,25.5,-65.5,45,55
"AL152016",16,2016-10-08 03:00:00,2016-10-11 00:00:00,27.7,-65.8,45,55
"AL152016",16,2016-10-08 03:00:00,2016-10-12 00:00:00,30.5,-66,50,60
"AL152016",16,2016-10-08 03:00:00,2016-10-13 00:00:00,33.5,-65.5,60,75
"AL152016",15,2016-10-07 21:00:00,2016-10-08 06:00:00,26.2,-65,45,55
"AL152016",15,2016-10-07 21:00:00,2016-10-08 18:00:00,25.4,-64.8,40,50
"AL152016",15,2016-10-07 21:00:00,2016-10-09 06:00:00,25.1,-64.9,40,50
"AL152016",15,2016-10-07 21:00:00,2016-10-09 18:00:00,25.5,-65.3,40,50
"AL152016",15,2016-10-07 21:00:00,2016-10-10 18:00:00,27.4,-66,45,55
"AL152016",15,2016-10-07 21:00:00,2016-10-11 18:00:00,29.7,-66.7,50,60
"AL152016",15,2016-10-07 21:00:00,2016-10-12 18:00:00,32.6,-66.4,60,75
"AL152016",14,2016-10-07 15:00:00,2016-10-08 00:00:00,27,-65.1,50,60
"AL152016",14,2016-10-07 15:00:00,2016-10-08 12:00:00,26.1,-64.8,45,55
"AL152016",14,2016-10-07 15:00:00,2016-10-09 00:00:00,25.4,-64.7,40,50
"AL152016",14,2016-10-07 15:00:00,2016-10-09 12:00:00,25.3,-65.1,40,50
"AL152016",14,2016-10-07 15:00:00,2016-10-10 12:00:00,26.6,-65.7,35,45
"AL152016",14,2016-10-07 15:00:00,2016-10-11 12:00:00,28.8,-66.1,40,50
"AL152016",14,2016-10-07 15:00:00,2016-10-12 12:00:00,32,-65.6,50,60
"AL152016",13,2016-10-07 09:00:00,2016-10-07 18:00:00,27,-65.2,80,100
"AL152016",13,2016-10-07 09:00:00,2016-10-08 06:00:00,26.1,-65,70,85
"AL152016",13,2016-10-07 09:00:00,2016-10-08 18:00:00,25.2,-64.8,65,80
"AL152016",13,2016-10-07 09:00:00,2016-10-09 06:00:00,24.8,-65,65,80
"AL152016",13,2016-10-07 09:00:00,2016-10-10 06:00:00,25.4,-65.9,60,75
"AL152016",13,2016-10-07 09:00:00,2016-10-11 06:00:00,27.5,-66.5,55,65
"AL152016",13,2016-10-07 09:00:00,2016-10-12 06:00:00,30,-66.5,60,75
"AL152016",12,2016-10-07 03:00:00,2016-10-07 12:00:00,27.3,-65.2,85,105
"AL152016",12,2016-10-07 03:00:00,2016-10-08 00:00:00,26.8,-65.1,80,100
"AL152016",12,2016-10-07 03:00:00,2016-10-08 12:00:00,26.1,-64.7,75,90
"AL152016",12,2016-10-07 03:00:00,2016-10-09 00:00:00,25.5,-64.7,70,85
"AL152016",12,2016-10-07 03:00:00,2016-10-10 00:00:00,26,-66,60,75
"AL152016",12,2016-10-07 03:00:00,2016-10-11 00:00:00,27.5,-67,60,75
"AL152016",12,2016-10-07 03:00:00,2016-10-12 00:00:00,29,-68,65,80
"AL152016",11,2016-10-06 21:00:00,2016-10-07 06:00:00,27.9,-65.3,85,105
"AL152016",11,2016-10-06 21:00:00,2016-10-07 18:00:00,27.6,-65.2,80,100
"AL152016",11,2016-10-06 21:00:00,2016-10-08 06:00:00,27,-64.9,75,90
"AL152016",11,2016-10-06 21:00:00,2016-10-08 18:00:00,26.5,-64.6,70,85
"AL152016",11,2016-10-06 21:00:00,2016-10-09 18:00:00,26.4,-65.3,60,75
"AL152016",11,2016-10-06 21:00:00,2016-10-10 18:00:00,27.4,-66.7,60,75
"AL152016",11,2016-10-06 21:00:00,2016-10-11 18:00:00,29.4,-67.7,65,80
"AL152016",10,2016-10-06 18:00:00,2016-10-07 00:00:00,27.7,-65.2,75,90
"AL152016",10,2016-10-06 18:00:00,2016-10-07 12:00:00,27.9,-65,80,100
"AL152016",10,2016-10-06 18:00:00,2016-10-08 00:00:00,27.3,-64.8,80,100
"AL152016",10,2016-10-06 18:00:00,2016-10-08 12:00:00,26.9,-64.8,75,90
"AL152016",10,2016-10-06 18:00:00,2016-10-09 12:00:00,26.5,-65,65,80
"AL152016",10,2016-10-06 18:00:00,2016-10-10 12:00:00,27,-66,55,65
"AL152016",10,2016-10-06 18:00:00,2016-10-11 12:00:00,28.5,-67,45,55
"AL152016",9,2016-10-06 15:00:00,2016-10-07 00:00:00,27.5,-65.1,60,75
"AL152016",9,2016-10-06 15:00:00,2016-10-07 12:00:00,27.8,-65,55,65
"AL152016",9,2016-10-06 15:00:00,2016-10-08 00:00:00,27.3,-64.8,55,65
"AL152016",9,2016-10-06 15:00:00,2016-10-08 12:00:00,26.9,-64.8,55,65
"AL152016",9,2016-10-06 15:00:00,2016-10-09 12:00:00,26.5,-65,50,60
"AL152016",9,2016-10-06 15:00:00,2016-10-10 12:00:00,27,-66,45,55
"AL152016",9,2016-10-06 15:00:00,2016-10-11 12:00:00,28.5,-67,45,55
"AL152016",8,2016-10-06 09:00:00,2016-10-06 18:00:00,27.3,-65.2,60,75
"AL152016",8,2016-10-06 09:00:00,2016-10-07 06:00:00,27.8,-65.3,55,65
"AL152016",8,2016-10-06 09:00:00,2016-10-07 18:00:00,27.8,-65.1,55,65
"AL152016",8,2016-10-06 09:00:00,2016-10-08 06:00:00,27.2,-64.7,55,65
"AL152016",8,2016-10-06 09:00:00,2016-10-09 06:00:00,26.7,-65.2,50,60
"AL152016",8,2016-10-06 09:00:00,2016-10-10 06:00:00,27.5,-66,45,55
"AL152016",8,2016-10-06 09:00:00,2016-10-11 06:00:00,29.5,-66.5,35,45
"AL152016",7,2016-10-06 03:00:00,2016-10-06 12:00:00,26.9,-64.8,60,75
"AL152016",7,2016-10-06 03:00:00,2016-10-07 00:00:00,27.7,-65.3,60,75
"AL152016",7,2016-10-06 03:00:00,2016-10-07 12:00:00,27.8,-65.2,55,65
"AL152016",7,2016-10-06 03:00:00,2016-10-08 00:00:00,27.5,-64.5,55,65
"AL152016",7,2016-10-06 03:00:00,2016-10-09 00:00:00,26.5,-64.5,55,65
"AL152016",7,2016-10-06 03:00:00,2016-10-10 00:00:00,27.5,-65.5,45,55
"AL152016",7,2016-10-06 03:00:00,2016-10-11 00:00:00,29,-65.5,35,45
"AL152016",6,2016-10-05 21:00:00,2016-10-06 06:00:00,26.3,-64.5,60,75
"AL152016",6,2016-10-05 21:00:00,2016-10-06 18:00:00,27.4,-65.2,60,75
"AL152016",6,2016-10-05 21:00:00,2016-10-07 06:00:00,27.9,-65.3,55,65
"AL152016",6,2016-10-05 21:00:00,2016-10-07 18:00:00,27.7,-64.8,55,65
"AL152016",6,2016-10-05 21:00:00,2016-10-08 18:00:00,27,-64,55,65
"AL152016",6,2016-10-05 21:00:00,2016-10-09 18:00:00,27.5,-65,45,55
"AL152016",6,2016-10-05 21:00:00,2016-10-10 18:00:00,29.5,-65,35,45
"AL152016",5,2016-10-05 15:00:00,2016-10-06 00:00:00,26,-63.8,45,55
"AL152016",5,2016-10-05 15:00:00,2016-10-06 12:00:00,27.3,-64.8,45,55
"AL152016",5,2016-10-05 15:00:00,2016-10-07 00:00:00,28.1,-65,45,55
"AL152016",5,2016-10-05 15:00:00,2016-10-07 12:00:00,28.3,-64.5,45,55
"AL152016",5,2016-10-05 15:00:00,2016-10-08 12:00:00,27.3,-63.1,45,55
"AL152016",5,2016-10-05 15:00:00,2016-10-09 12:00:00,27.5,-63.5,40,50
"AL152016",5,2016-10-05 15:00:00,2016-10-10 12:00:00,29.5,-64,35,45
"AL152016",4,2016-10-05 09:00:00,2016-10-05 18:00:00,25.5,-63,45,55
"AL152016",4,2016-10-05 09:00:00,2016-10-06 06:00:00,26.8,-64.2,45,55
"AL152016",4,2016-10-05 09:00:00,2016-10-06 18:00:00,27.7,-64.9,45,55
"AL152016",4,2016-10-05 09:00:00,2016-10-07 06:00:00,28.4,-64.6,40,50
"AL152016",4,2016-10-05 09:00:00,2016-10-08 06:00:00,28,-62.8,40,50
"AL152016",4,2016-10-05 09:00:00,2016-10-09 06:00:00,28.3,-62,40,50
"AL152016",4,2016-10-05 09:00:00,2016-10-10 06:00:00,30,-63,40,50
"AL152016",3,2016-10-05 03:00:00,2016-10-05 12:00:00,25.1,-62.5,45,55
"AL152016",3,2016-10-05 03:00:00,2016-10-06 00:00:00,26.5,-63.8,45,55
"AL152016",3,2016-10-05 03:00:00,2016-10-06 12:00:00,27.7,-64.8,40,50
