"Key","Adv","ObDate","WindField","NE","SE","SW","NW"
"AL152016",29,2016-10-11 09:00:00,"50","30","30","0","0"
"AL152016",29,2016-10-11 09:00:00,"34","100","80","60","60"
"AL152016",28,2016-10-11 03:00:00,"50","60","50","0","0"
"AL152016",28,2016-10-11 03:00:00,"34","140","140","70","60"
"AL152016",27,2016-10-10 21:00:00,"50","60","50","0","0"
"AL152016",27,2016-10-10 21:00:00,"34","140","140","70","60"
"AL152016",26,2016-10-10 15:00:00,"50","50","50","20","0"
"AL152016",26,2016-10-10 15:00:00,"34","160","160","70","60"
"AL152016",25,2016-10-10 09:00:00,"50","50","50","20","0"
"AL152016",25,2016-10-10 09:00:00,"34","180","160","70","60"
"AL152016",24,2016-10-10 03:00:00,"50","40","50","20","0"
"AL152016",24,2016-10-10 03:00:00,"34","100","160","70","60"
"AL152016",23,2016-10-09 21:00:00,"50","40","50","20","0"
"AL152016",23,2016-10-09 21:00:00,"34","100","160","70","60"
"AL152016",22,2016-10-09 15:00:00,"50","30","40","0","0"
"AL152016",22,2016-10-09 15:00:00,"34","60","100","60","50"
"AL152016",21,2016-10-09 09:00:00,"34","60","100","60","50"
"AL152016",20,2016-10-09 03:00:00,"34","50","90","50","40"
"AL152016",19,2016-10-08 21:00:00,"34","50","90","50","40"
"AL152016",18,2016-10-08 15:00:00,"34","50","80","60","20"
"AL152016",17,2016-10-08 09:00:00,"34","50","80","70","40"
"AL152016",16,2016-10-08 03:00:00,"50","30","40","0","0"
"AL152016",16,2016-10-08 03:00:00,"34","50","70","50","50"
"AL152016",15,2016-10-07 21:00:00,"50","30","30","0","0"
"AL152016",15,2016-10-07 21:00:00,"34","70","70","40","40"
"AL152016",14,2016-10-07 15:00:00,"50","30","20","0","0"
"AL152016",14,2016-10-07 15:00:00,"34","70","70","40","40"
"AL152016",13,2016-10-07 09:00:00,"64","15","15","10","10"
"AL152016",13,2016-10-07 09:00:00,"50","30","30","20","20"
"AL152016",13,2016-10-07 09:00:00,"34","80","80","50","50"
